state,county,status,url,final_url,http_status,platform,bytes,attempts
OK,Garvin County,not_found,,,,not_found,,garvincountyok.gov:ConnectError;co.garvin.ok.us:ConnectError;garvincounty.org:ConnectError;garvincountyoklahoma.gov:ConnectError
OK,Grady County,not_found,,,,not_found,,gradycountyok.gov:ConnectError;co.grady.ok.us:ConnectError;gradycounty.org:wrong_county;gradycountyoklahoma.gov:ConnectError
OK,Grant County,resolved,https://grantcounty.org,https://grantcounty.org,200,WordPress,521016,grantcountyok.gov:ConnectError;co.grant.ok.us:ConnectError
OK,Greer County,not_found,,,,not_found,,greercountyok.gov:ConnectError;co.greer.ok.us:ConnectError;greercounty.org:ConnectError;greercountyoklahoma.gov:ConnectError
OK,Harmon County,not_found,,,,not_found,,harmoncountyok.gov:ConnectError;co.harmon.ok.us:ConnectError;harmoncounty.org:ConnectError;harmoncountyoklahoma.gov:ConnectError
OK,Harper County,not_found,,,,not_found,,harpercountyok.gov:ConnectError;co.harper.ok.us:ConnectError;harpercounty.org:wrong_county;harpercountyoklahoma.gov:ConnectError
OK,Haskell County,not_found,,,,not_found,,haskellcountyok.gov:ConnectError;co.haskell.ok.us:ConnectError;haskellcounty.org:403;haskellcountyoklahoma.gov:ConnectError
OK,Hughes County,resolved,https://hughescounty.org,https://hughescounty.org,200,other/unknown,126431,hughescountyok.gov:ConnectError;co.hughes.ok.us:ConnectError
OK,Jackson County,resolved,https://jacksoncounty.org,https://jacksoncounty.org,200,other/unknown,387,jacksoncountyok.gov:ConnectError;co.jackson.ok.us:ConnectError
OK,Jefferson County,resolved,https://jeffersoncounty.org,https://jeffersoncounty.org,200,other/unknown,29363,jeffersoncountyok.gov:ConnectError;co.jefferson.ok.us:ConnectError
OK,Johnston County,not_found,,,,not_found,,johnstoncountyok.gov:ConnectError;co.johnston.ok.us:ConnectTimeout;johnstoncounty.org:wrong_county;johnstoncountyoklahoma.gov:ConnectError
OK,Kay County,not_found,,,,not_found,,kaycountyok.gov:ConnectError;co.kay.ok.us:ConnectError;kaycounty.org:RemoteProtocolError;kaycountyoklahoma.gov:ConnectError
OK,Kingfisher County,not_found,,,,not_found,,kingfishercountyok.gov:ConnectError;co.kingfisher.ok.us:ConnectError;kingfishercounty.org:ConnectError;kingfishercountyoklahoma.gov:ConnectError
OK,Kiowa County,not_found,,,,not_found,,kiowacountyok.gov:ConnectError;co.kiowa.ok.us:ConnectError;kiowacounty.org:RemoteProtocolError;kiowacountyoklahoma.gov:ConnectError
OK,Latimer County,not_found,,,,not_found,,latimercountyok.gov:ConnectError;co.latimer.ok.us:ConnectError;latimercounty.org:ConnectError;latimercountyoklahoma.gov:ConnectError
OK,Le Flore County,not_found,,,,not_found,,leflorecountyok.gov:wrong_county;co.leflore.ok.us:ConnectError;leflorecounty.org:403;leflorecountyoklahoma.gov:ConnectError
OK,Lincoln County,resolved,https://lincolncountyok.gov,https://www.lincolncountyok.gov/,200,Wix,1022660,first_try
OK,Logan County,not_found,,,,not_found,,logancountyok.gov:ConnectError;co.logan.ok.us:ConnectError;logancounty.org:ConnectError;logancountyoklahoma.gov:ConnectError
OK,Love County,not_found,,,,not_found,,lovecountyok.gov:ConnectError;co.love.ok.us:ConnectError;lovecounty.org:ConnectError;lovecountyoklahoma.gov:ConnectError
OK,Major County,not_found,,,,not_found,,majorcountyok.gov:ConnectError;co.major.ok.us:ConnectError;majorcounty.org:ConnectError;majorcountyoklahoma.gov:ConnectError
OK,Marshall County,not_found,,,,not_found,,marshallcountyok.gov:ConnectError;co.marshall.ok.us:ConnectError;marshallcounty.org:ConnectError;marshallcountyoklahoma.gov:ConnectError
OK,Mayes County,not_found,,,,not_found,,mayescountyok.gov:ConnectError;co.mayes.ok.us:ConnectError;mayescounty.org:RemoteProtocolError;mayescountyoklahoma.gov:ConnectError
OK,McClain County,not_found,,,,not_found,,mcclaincountyok.gov:403;co.mcclain.ok.us:ConnectError;mcclaincounty.org:RemoteProtocolError;mcclaincountyoklahoma.gov:ConnectError
OK,McCurtain County,not_found,,,,not_found,,mccurtaincountyok.gov:ConnectError;co.mccurtain.ok.us:ConnectError;mccurtaincounty.org:ConnectTimeout;mccurtaincountyoklahoma.gov:ConnectError
OK,McIntosh County,resolved,https://mcintoshcounty.org,https://mcintoshcounty.org,200,WordPress,80227,mcintoshcountyok.gov:ConnectError;co.mcintosh.ok.us:ConnectError
